detected_at_utc,detected_date,unit_id,start_date,end_date,status,days_count
2026-04-30T00:48:13,2026-04-30,5342,2026-04-01,2026-05-15,new_block,45
2026-04-30T00:48:13,2026-04-30,5343,2026-04-01,2026-05-15,new_block,45
2026-04-30T00:48:13,2026-04-30,5344,2026-04-01,2026-05-15,new_block,45
2026-04-30T01:06:38,2026-04-30,5078,2026-04-01,2026-05-15,new_block,45
2026-04-30T01:06:38,2026-04-30,5222,2026-04-01,2026-05-15,new_block,45
2026-04-30T01:06:38,2026-04-30,5285,2026-04-01,2026-05-15,new_block,45
2026-04-30T01:06:38,2026-04-30,5290,2026-04-01,2026-05-15,new_block,45
2026-04-30T01:06:38,2026-04-30,5407,2026-04-01,2026-04-29,new_block,29
2026-04-30T01:06:38,2026-04-30,5407,2026-05-01,2026-05-01,new_block,1
2026-04-30T01:06:38,2026-04-30,5411,2026-04-01,2026-05-15,new_block,45
2026-04-30T01:06:38,2026-04-30,5414,2026-04-01,2026-05-15,new_block,45
2026-04-30T01:06:38,2026-04-30,5414,2026-06-28,2026-07-02,new_block,5
2026-04-30T01:06:38,2026-04-30,5447,2026-04-01,2026-05-15,new_block,45
2026-04-30T01:06:38,2026-04-30,5447,2026-07-18,2026-08-05,new_block,19
2026-04-30T01:06:38,2026-04-30,5462,2026-04-01,2026-05-31,new_block,61
2026-04-30T01:06:38,2026-04-30,5582,2026-04-01,2026-05-15,new_block,45
2026-04-30T01:06:38,2026-04-30,5582,2026-07-18,2026-08-05,new_block,19
2026-04-30T01:06:38,2026-04-30,5584,2026-04-01,2026-04-29,new_block,29
2026-04-30T01:06:38,2026-04-30,5584,2026-05-01,2026-05-01,new_block,1
2026-04-30T01:06:38,2026-04-30,5584,2026-07-18,2026-08-17,new_block,31
2026-04-30T01:06:38,2026-04-30,5585,2026-04-01,2026-05-15,new_block,45
2026-04-30T01:06:38,2026-04-30,5594,2026-04-01,2026-05-15,new_block,45
2026-04-30T01:06:38,2026-04-30,5595,2026-04-01,2026-05-15,new_block,45
2026-04-30T01:06:38,2026-04-30,5596,2026-04-01,2026-05-15,new_block,45
2026-04-30T01:06:38,2026-04-30,5615,2026-04-01,2026-05-15,new_block,45
2026-04-30T01:06:38,2026-04-30,5615,2026-07-01,2026-07-30,new_block,30
2026-04-30T01:06:38,2026-04-30,5674,2026-04-01,2026-09-30,new_block,183
